,geometry,crime,color
30,"POLYGON ((-73.56983070150004 45.49406850850001, -73.56783070150004 45.49406850850001, -73.56783070150004 45.4920685085, -73.56983070150004 45.4920685085, -73.56983070150004 45.49406850850001))",0,purple
31,"POLYGON ((-73.56783070150004 45.49406850850001, -73.56583070150005 45.49406850850001, -73.56583070150005 45.4920685085, -73.56783070150004 45.4920685085, -73.56783070150004 45.49406850850001))",0,purple
32,"POLYGON ((-73.56583070150005 45.49406850850001, -73.56383070150005 45.49406850850001, -73.56383070150005 45.4920685085, -73.56583070150005 45.4920685085, -73.56583070150005 45.49406850850001))",0,purple
33,"POLYGON ((-73.56383070150005 45.49406850850001, -73.56183070150006 45.49406850850001, -73.56183070150006 45.4920685085, -73.56383070150005 45.4920685085, -73.56383070150005 45.49406850850001))",0,purple
34,"POLYGON ((-73.56183070150006 45.49406850850001, -73.55983070150006 45.49406850850001, -73.55983070150006 45.4920685085, -73.56183070150006 45.4920685085, -73.56183070150006 45.49406850850001))",0,purple
35,"POLYGON ((-73.55983070150006 45.49406850850001, -73.55783070150007 45.49406850850001, -73.55783070150007 45.4920685085, -73.55983070150006 45.4920685085, -73.55983070150006 45.49406850850001))",21,purple
36,"POLYGON ((-73.55783070150007 45.49406850850001, -73.55583070150007 45.49406850850001, -73.55583070150007 45.4920685085, -73.55783070150007 45.4920685085, -73.55783070150007 45.49406850850001))",3,purple
37,"POLYGON ((-73.55583070150007 45.49406850850001, -73.55383070150008 45.49406850850001, -73.55383070150008 45.4920685085, -73.55583070150007 45.4920685085, -73.55583070150007 45.49406850850001))",0,purple
38,"POLYGON ((-73.55383070150008 45.49406850850001, -73.55183070150008 45.49406850850001, -73.55183070150008 45.4920685085, -73.55383070150008 45.4920685085, -73.55383070150008 45.49406850850001))",4,purple
39,"POLYGON ((-73.55183070150008 45.49406850850001, -73.54983070150008 45.49406850850001, -73.54983070150008 45.4920685085, -73.55183070150008 45.4920685085, -73.55183070150008 45.49406850850001))",20,purple
40,"POLYGON ((-73.58983070149999 45.49606850850001, -73.5878307015 45.49606850850001, -73.5878307015 45.49406850850001, -73.58983070149999 45.49406850850001, -73.58983070149999 45.49606850850001))",34,purple
41,"POLYGON ((-73.5878307015 45.49606850850001, -73.5858307015 45.49606850850001, -73.5858307015 45.49406850850001, -73.5878307015 45.49406850850001, -73.5878307015 45.49606850850001))",8,purple
42,"POLYGON ((-73.5858307015 45.49606850850001, -73.58383070150001 45.49606850850001, -73.58383070150001 45.49406850850001, -73.5858307015 45.49406850850001, -73.5858307015 45.49606850850001))",53,yellow
43,"POLYGON ((-73.58383070150001 45.49606850850001, -73.58183070150001 45.49606850850001, -73.58183070150001 45.49406850850001, -73.58383070150001 45.49406850850001, -73.58383070150001 45.49606850850001))",46,yellow
44,"POLYGON ((-73.58183070150001 45.49606850850001, -73.57983070150001 45.49606850850001, -73.57983070150001 45.49406850850001, -73.58183070150001 45.49406850850001, -73.58183070150001 45.49606850850001))",48,yellow
45,"POLYGON ((-73.57983070150001 45.49606850850001, -73.57783070150002 45.49606850850001, -73.57783070150002 45.49406850850001, -73.57983070150001 45.49406850850001, -73.57983070150001 45.49606850850001))",53,yellow
46,"POLYGON ((-73.57783070150002 45.49606850850001, -73.57583070150002 45.49606850850001, -73.57583070150002 45.49406850850001, -73.57783070150002 45.49406850850001, -73.57783070150002 45.49606850850001))",32,purple
47,"POLYGON ((-73.57583070150002 45.49606850850001, -73.57383070150003 45.49606850850001, -73.57383070150003 45.49406850850001, -73.57583070150002 45.49406850850001, -73.57583070150002 45.49606850850001))",0,purple
48,"POLYGON ((-73.57383070150003 45.49606850850001, -73.57183070150003 45.49606850850001, -73.57183070150003 45.49406850850001, -73.57383070150003 45.49406850850001, -73.57383070150003 45.49606850850001))",0,purple
49,"POLYGON ((-73.57183070150003 45.49606850850001, -73.56983070150004 45.49606850850001, -73.56983070150004 45.49406850850001, -73.57183070150003 45.49406850850001, -73.57183070150003 45.49606850850001))",0,purple
